specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,L,boundary_condition,Le,w_0,w_e,w_total,N_u,failure_mode,buckling_axis
buchanan2018_01,buchanan2018,buchanan2018_A,experimental,1.4432,austenitic,cold_formed,196050,283.5,8.6,measured,323.5,3.65,615.0,CHS,105.74,,2.78,554.27,pin-pin,554.27,0.25,0.21,0.46,267.0,global_flexural,-
buchanan2018_02,buchanan2018,buchanan2018_A,experimental,1.4432,austenitic,cold_formed,196050,283.5,8.6,measured,323.5,3.65,615.0,CHS,105.81,,2.88,754.21,pin-pin,754.21,0.05,0.68,0.73,244.8,global_flexural,-
buchanan2018_03,buchanan2018,buchanan2018_A,experimental,1.4432,austenitic,cold_formed,196050,283.5,8.6,measured,323.5,3.65,615.0,CHS,105.77,,2.72,754.21,pin-pin,754.21,0.40,0.46,0.86,242.2,global_flexural,-
buchanan2018_04,buchanan2018,buchanan2018_A,experimental,1.4432,austenitic,cold_formed,196050,283.5,8.6,measured,323.5,3.65,615.0,CHS,105.78,,2.79,954.0,pin-pin,954.0,0.20,0.80,1.00,253.4,global_flexural,-
buchanan2018_05,buchanan2018,buchanan2018_A,experimental,1.4432,austenitic,cold_formed,196050,283.5,8.6,measured,323.5,3.65,615.0,CHS,105.84,,2.83,1154.0,pin-pin,1154.0,0.25,0.90,1.15,248.8,global_flexural,-
buchanan2018_06,buchanan2018,buchanan2018_A,experimental,1.4432,austenitic,cold_formed,196050,283.5,8.6,measured,323.5,3.65,615.0,CHS,105.63,,2.74,1657.0,pin-pin,1657.0,1.00,0.75,1.75,201.3,global_flexural,-
buchanan2018_07,buchanan2018,buchanan2018_A,experimental,1.4432,austenitic,cold_formed,196050,283.5,8.6,measured,323.5,3.65,615.0,CHS,105.88,,2.71,2152.9,pin-pin,2152.9,0.75,1.41,2.16,185.5,global_flexural,-
buchanan2018_08,buchanan2018,buchanan2018_A,experimental,1.4432,austenitic,cold_formed,196050,283.5,8.6,measured,323.5,3.65,615.0,CHS,105.64,,2.73,2652.5,pin-pin,2652.5,0.50,2.19,2.69,159.4,global_flexural,-
buchanan2018_09,buchanan2018,buchanan2018_A,experimental,1.4432,austenitic,cold_formed,196050,283.5,8.6,measured,323.5,3.65,615.0,CHS,105.67,,2.70,3083.0,pin-pin,3083.0,5.50,-2.55,2.95,150.8,global_flexural,-
buchanan2018_10,buchanan2018,buchanan2018_B,experimental,1.4307/1.4301,austenitic,cold_formed,199700,373.0,4.6,measured,424.0,2.95,714.5,CHS,103.97,,1.89,553.77,pin-pin,553.77,0.05,0.42,0.47,241.1,global_flexural,-
