specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,t_f,t_w,L,boundary_condition,Le,buckling_axis,w_0,w_e,w_total,N_u,failure_mode
gardner2016_01,gardner2016,gardner2016_A,experimental,1.4307,austenitic,laser_welded,193700,272.0,7.1,measured,328.0,2.4,615.0,I,140.64,139.73,9.73,11.88,9.73,1030.1,pin-pin,1030.1,minor,0.28,0.07,0.35,1294.6,global_flexural
gardner2016_02,gardner2016,gardner2016_A,experimental,1.4307,austenitic,laser_welded,193700,272.0,7.1,measured,328.0,2.4,615.0,I,140.62,140.17,9.86,11.91,9.86,2032.1,pin-pin,2032.1,minor,0.29,1.13,1.42,950.6,global_flexural
gardner2016_03,gardner2016,gardner2016_B,experimental,1.4307,austenitic,laser_welded,190700,270.0,4.0,measured,361.0,3.2,694.0,I,50.53,50.43,4.03,4.05,4.03,1631.1,pin-pin,1631.1,minor,0.38,0.15,0.53,56.0,global_flexural
gardner2016_04,gardner2016,gardner2016_B,experimental,1.4307,austenitic,laser_welded,190700,270.0,4.0,measured,361.0,3.2,694.0,I,50.54,50.68,4.00,4.02,4.00,1931.1,pin-pin,1931.1,minor,0.70,0.82,1.52,33.9,global_flexural
gardner2016_05,gardner2016,gardner2016_C,experimental,1.4307,austenitic,laser_welded,197500,286.0,7.5,measured,342.0,2.7,619.0,I,83.23,160.86,9.88,11.84,9.88,1730.1,pin-pin,1730.1,minor,0.15,1.07,1.22,449.5,global_flexural
gardner2016_06,gardner2016,gardner2016_C,experimental,1.4307,austenitic,laser_welded,197500,286.0,7.5,measured,342.0,2.7,619.0,I,82.80,160.49,9.88,11.85,9.88,2323.1,pin-pin,2323.1,minor,0.43,1.24,1.67,286.5,global_flexural
gardner2016_07,gardner2016,gardner2016_D,experimental,1.4571,austenitic,laser_welded,186800,222.0,3.2,measured,331.0,3.9,580.0,I,67.96,101.56,5.00,5.00,5.03,931.1,pin-pin,931.1,minor,0.11,0.69,0.80,234.4,global_flexural
gardner2016_08,gardner2016,gardner2016_D,experimental,1.4571,austenitic,laser_welded,186800,222.0,3.2,measured,331.0,3.9,580.0,I,67.96,101.51,5.02,5.04,5.02,1330.1,pin-pin,1330.1,minor,0.08,0.57,0.65,169.0,global_flexural
gardner2016_09,gardner2016,gardner2016_D,experimental,1.4571,austenitic,laser_welded,186800,222.0,3.2,measured,331.0,3.9,580.0,I,67.99,101.80,5.02,5.02,5.03,1730.1,pin-pin,1730.1,minor,0.33,0.72,1.05,117.2,global_flexural
gardner2016_10,gardner2016,gardner2016_D,experimental,1.4571,austenitic,laser_welded,186800,222.0,3.2,measured,331.0,3.9,580.0,I,67.88,101.76,4.98,4.98,4.99,2030.1,pin-pin,2030.1,minor,0.33,1.52,1.85,84.3,global_flexural
