specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,L,boundary_condition,Le,buckling_axis,w0,we,wtotal,N_u,failure_mode
huang2013_01,huang2013,huang2013_A,experimental,EN 1.4162,lean_duplex,cold_formed,198000,683.0,7.0,measured,,,764.0,RHS,30.1,50.1,2.563,550.0,pin-pin,660.0,minor,0.320,-0.310,0.010,154.2,global_flexural
huang2013_02,huang2013,huang2013_A,experimental,EN 1.4162,lean_duplex,cold_formed,198000,683.0,7.0,measured,,,764.0,RHS,30.2,50.5,2.574,900.0,pin-pin,1010.0,minor,0.320,-0.050,0.270,85.4,global_flexural
huang2013_03,huang2013,huang2013_A,experimental,EN 1.4162,lean_duplex,cold_formed,198000,683.0,7.0,measured,,,764.0,RHS,30.2,50.1,2.560,1200.0,pin-pin,1310.0,minor,0.510,-0.370,0.140,55.3,global_flexural
huang2013_04,huang2013,huang2013_A,experimental,EN 1.4162,lean_duplex,cold_formed,198000,683.0,7.0,measured,,,764.0,RHS,30.1,50.4,2.551,1550.0,pin-pin,1660.0,minor,0.640,-0.450,0.190,36.2,global_flexural
huang2013_05,huang2013,huang2013_B,experimental,EN 1.4162,lean_duplex,cold_formed,194000,610.0,5.0,measured,,,734.0,SHS,50.5,50.5,1.507,900.0,pin-pin,1010.0,minor,0.380,0.130,0.510,120.8,global_flexural
huang2013_06,huang2013,huang2013_B,experimental,EN 1.4162,lean_duplex,cold_formed,194000,610.0,5.0,measured,,,734.0,SHS,50.4,50.5,1.497,1200.0,pin-pin,1310.0,minor,0.320,0.090,0.410,92.3,global_flexural
huang2013_07,huang2013,huang2013_B,experimental,EN 1.4162,lean_duplex,cold_formed,194000,610.0,5.0,measured,,,734.0,SHS,50.7,50.8,1.510,1550.0,pin-pin,1660.0,minor,0.320,0.160,0.480,65.4,global_flexural
huang2013_08,huang2013,huang2013_C,experimental,EN 1.4162,lean_duplex,cold_formed,198000,635.0,6.0,measured,,,756.0,SHS,50.0,50.1,2.487,900.0,pin-pin,1010.0,minor,0.320,-0.270,0.050,242.8,global_flexural
huang2013_09,huang2013,huang2013_C,experimental,EN 1.4162,lean_duplex,cold_formed,198000,635.0,6.0,measured,,,756.0,SHS,50.0,50.2,2.520,1200.0,pin-pin,1310.0,minor,0.320,0.050,0.370,146.1,global_flexural
huang2013_10,huang2013,huang2013_C,experimental,EN 1.4162,lean_duplex,cold_formed,198000,635.0,6.0,measured,,,756.0,SHS,50.0,50.3,2.489,1550.0,pin-pin,1660.0,minor,0.440,0.110,0.550,103.9,global_flexural
huang2013_11,huang2013,huang2013_D,experimental,EN 1.4162,lean_duplex,cold_formed,194000,613.0,8.0,measured,,,738.0,RHS,50.7,70.5,2.553,900.0,pin-pin,1010.0,minor,0.320,0.290,0.610,270.7,global_flexural
huang2013_12,huang2013,huang2013_D,experimental,EN 1.4162,lean_duplex,cold_formed,194000,613.0,8.0,measured,,,738.0,RHS,50.7,70.4,2.513,1200.0,pin-pin,1310.0,minor,0.380,-0.180,0.200,211.2,global_flexural
huang2013_13,huang2013,huang2013_D,experimental,EN 1.4162,lean_duplex,cold_formed,194000,613.0,8.0,measured,,,738.0,RHS,50.8,70.5,2.527,1550.0,pin-pin,1660.0,minor,0.440,-0.050,0.390,148.3,global_flexural
huang2013_14,huang2013,huang2013_E,experimental,EN 1.4162,lean_duplex,cold_formed,200000,625.0,6.0,measured,,,727.0,RHS,50.4,100.4,2.497,900.0,pin-pin,1010.0,minor,0.380,0.160,0.540,335.2,interactive
huang2013_15,huang2013,huang2013_E,experimental,EN 1.4162,lean_duplex,cold_formed,200000,625.0,6.0,measured,,,727.0,RHS,50.4,100.1,2.490,900.0,pin-pin,1010.0,minor,0.320,0.300,0.620,336.0,interactive
huang2013_16,huang2013,huang2013_E,experimental,EN 1.4162,lean_duplex,cold_formed,200000,625.0,6.0,measured,,,727.0,RHS,50.5,100.1,2.480,1200.0,pin-pin,1310.0,minor,0.440,0.230,0.670,249.0,global_flexural
huang2013_17,huang2013,huang2013_E,experimental,EN 1.4162,lean_duplex,cold_formed,200000,625.0,6.0,measured,,,727.0,RHS,50.8,100.6,2.513,1200.0,pin-pin,1310.0,minor,0.440,0.180,0.620,252.2,global_flexural
huang2013_18,huang2013,huang2013_E,experimental,EN 1.4162,lean_duplex,cold_formed,200000,625.0,6.0,measured,,,727.0,RHS,50.4,100.2,2.510,1550.0,pin-pin,1660.0,minor,0.700,-0.520,0.180,193.7,global_flexural
huang2013_19,huang2013,huang2013_F,experimental,EN 1.4162,lean_duplex,cold_formed,202000,664.0,4.0,measured,,,788.0,RHS,50.3,150.4,2.473,900.0,pin-pin,1010.0,minor,0.320,-0.160,0.160,333.5,interactive
huang2013_20,huang2013,huang2013_F,experimental,EN 1.4162,lean_duplex,cold_formed,202000,664.0,4.0,measured,,,788.0,RHS,50.5,149.9,2.459,1200.0,pin-pin,1310.0,minor,0.510,-0.490,0.020,284.5,interactive
huang2013_21,huang2013,huang2013_F,experimental,EN 1.4162,lean_duplex,cold_formed,202000,664.0,4.0,measured,,,788.0,RHS,50.3,150.5,2.487,1550.0,pin-pin,1660.0,minor,0.380,-0.240,0.140,230.0,interactive
