specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,L,boundary_condition,Le,buckling_axis,w_0,w_e,w_0_1,w_e_1,w_0_2,w_e_2,w_total,N_u,failure_mode
rasmussen1993_01,rasmussen1993,rasmussen1993_A,experimental,304L,austenitic,cold_formed,191000,440.0,3.0,measured,,,,SHS,80.5,80.5,2.90,1001.0,pin-pin,1451.0,-,0.3,0.4,0.3,0.4,0.2,-0.2,0.70,390.0,global_flexural
rasmussen1993_02,rasmussen1993,rasmussen1993_A,experimental,304L,austenitic,cold_formed,191000,440.0,3.0,measured,,,,SHS,80.3,80.3,2.98,1001.0,pin-pin,1451.0,-,0.6,0.3,0.6,0.3,-0.3,-0.2,0.90,344.0,global_flexural
rasmussen1993_03,rasmussen1993,rasmussen1993_A,experimental,304L,austenitic,cold_formed,191000,440.0,3.0,measured,,,,SHS,80.4,80.4,2.99,2000.0,pin-pin,2450.0,-,0.1,0.5,0.1,0.5,0.1,-0.7,0.60,193.0,global_flexural
rasmussen1993_04,rasmussen1993,rasmussen1993_A,experimental,304L,austenitic,cold_formed,191000,440.0,3.0,measured,,,,SHS,80.6,80.6,2.93,2000.0,pin-pin,2450.0,-,0.7,3.4,0.7,3.4,-0.3,-0.6,4.10,158.0,global_flexural
rasmussen1993_05,rasmussen1993,rasmussen1993_A,experimental,304L,austenitic,cold_formed,191000,440.0,3.0,measured,,,,SHS,80.7,80.7,2.95,3002.0,pin-pin,3452.0,-,1.6,0.5,1.6,0.5,-1.1,-0.4,2.10,96.0,global_flexural
rasmussen1993_06,rasmussen1993,rasmussen1993_A,experimental,304L,austenitic,cold_formed,191000,440.0,3.0,measured,,,,SHS,80.2,80.2,2.98,3001.0,pin-pin,3451.0,-,2.1,3.2,2.1,3.2,-0.2,-0.3,5.30,98.0,global_flexural
rasmussen1993_07,rasmussen1993,rasmussen1993_B,experimental,304L,austenitic,cold_formed,201000,380.0,6.0,measured,,,,CHS,101.4,,2.98,1000.0,pin-pin,1450.0,-,0.1,-0.6,0.1,-0.6,0.2,0.4,0.60,328.0,global_flexural
rasmussen1993_08,rasmussen1993,rasmussen1993_B,experimental,304L,austenitic,cold_formed,201000,380.0,6.0,measured,,,,CHS,101.5,,2.98,1001.0,pin-pin,1451.0,-,0.2,1.7,0.2,1.7,0.2,-0.2,1.90,303.0,global_flexural
rasmussen1993_09,rasmussen1993,rasmussen1993_B,experimental,304L,austenitic,cold_formed,201000,380.0,6.0,measured,,,,CHS,101.5,,2.95,2000.0,pin-pin,2450.0,-,0.3,-0.3,0.3,-0.3,0.0,0.1,0.10,241.0,global_flexural
rasmussen1993_10,rasmussen1993,rasmussen1993_B,experimental,304L,austenitic,cold_formed,201000,380.0,6.0,measured,,,,CHS,101.4,,2.92,2001.0,pin-pin,2451.0,-,0.7,1.4,0.7,1.4,0.1,-0.6,2.10,198.0,global_flexural
rasmussen1993_11,rasmussen1993,rasmussen1993_B,experimental,304L,austenitic,cold_formed,201000,380.0,6.0,measured,,,,CHS,101.4,,2.93,3000.0,pin-pin,3450.0,-,0.7,-1.0,0.7,-1.0,0.3,-0.6,0.30,171.0,global_flexural
rasmussen1993_12,rasmussen1993,rasmussen1993_B,experimental,304L,austenitic,cold_formed,201000,380.0,6.0,measured,,,,CHS,101.4,,2.93,3000.0,pin-pin,3450.0,-,1.2,2.4,1.2,2.4,0.6,-0.6,3.60,127.0,global_flexural
rasmussen1993_13,rasmussen1993,rasmussen1993_B,experimental,304L,austenitic,cold_formed,201000,380.0,6.0,measured,,,,CHS,101.3,,2.96,4000.0,pin-pin,4450.0,-,1.5,-1.3,1.5,-1.3,0.7,-1.7,1.00,113.0,global_flexural
rasmussen1993_14,rasmussen1993,rasmussen1993_B,experimental,304L,austenitic,cold_formed,201000,380.0,6.0,measured,,,,CHS,101.3,,2.93,4000.0,pin-pin,4450.0,-,2.0,4.1,2.0,4.1,1.2,-2.5,6.10,84.0,global_flexural
