specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,L,boundary_condition,Le,buckling_axis,w_0,w_e,w_total,N_u,failure_mode
young2006_01,young2006,young2006_A,experimental,duplex,duplex,cold_formed,226000,757.0,3.0,measured,,,854.0,SHS,39.5,40.1,1.933,650.0,fixed-fixed,325.0,-,1.512,0.0,1.512,222.8,global_flexural
young2006_02,young2006,young2006_A,experimental,duplex,duplex,cold_formed,226000,757.0,3.0,measured,,,854.0,SHS,40.0,40.1,1.937,1000.0,fixed-fixed,500.0,-,0.419,0.0,0.419,197.8,global_flexural
young2006_03,young2006,young2006_A,experimental,duplex,duplex,cold_formed,226000,757.0,3.0,measured,,,854.0,SHS,40.0,40.1,1.924,1501.0,fixed-fixed,750.5,-,0.127,0.0,0.127,136.0,global_flexural
young2006_04,young2006,young2006_A,experimental,duplex,duplex,cold_formed,226000,757.0,3.0,measured,,,854.0,SHS,40.0,40.1,1.916,2000.0,fixed-fixed,1000.0,-,0.241,0.0,0.241,106.3,global_flexural
young2006_05,young2006,young2006_A,experimental,duplex,duplex,cold_formed,226000,757.0,3.0,measured,,,854.0,SHS,40.0,40.2,1.918,2500.0,fixed-fixed,1250.0,-,1.168,0.0,1.168,71.3,global_flexural
young2006_06,young2006,young2006_A,experimental,duplex,duplex,cold_formed,226000,757.0,3.0,measured,,,854.0,SHS,40.0,40.2,1.940,3000.0,fixed-fixed,1500.0,-,2.158,0.0,2.158,52.1,global_flexural
young2006_07,young2006,young2006_B,experimental,duplex,duplex,cold_formed,200000,622.0,5.0,measured,,,770.0,SHS,50.2,50.0,1.533,1499.0,fixed-fixed,749.5,-,0.837,0.0,0.837,156.8,interactive
young2006_08,young2006,young2006_B,experimental,duplex,duplex,cold_formed,200000,622.0,5.0,measured,,,770.0,SHS,50.2,50.1,1.533,2000.0,fixed-fixed,1000.0,-,1.333,0.0,1.333,124.7,global_flexural
young2006_09,young2006,young2006_B,experimental,duplex,duplex,cold_formed,200000,622.0,5.0,measured,,,770.0,SHS,50.2,50.2,1.543,2500.0,fixed-fixed,1250.0,-,3.226,0.0,3.226,95.1,global_flexural
young2006_10,young2006,young2006_B,experimental,duplex,duplex,cold_formed,200000,622.0,5.0,measured,,,770.0,SHS,50.2,50.1,1.539,3000.0,fixed-fixed,1500.0,-,3.440,0.0,3.440,72.4,global_flexural
young2006_11,young2006,young2006_C,experimental,duplex,duplex,cold_formed,212000,486.0,6.0,measured,,,736.0,RHS,80.0,139.9,3.066,2200.0,fixed-fixed,1100.0,minor,0.394,0.0,0.394,525.1,interactive
young2006_12,young2006,young2006_C,experimental,duplex,duplex,cold_formed,212000,486.0,6.0,measured,,,736.0,RHS,79.9,140.1,3.011,3000.0,fixed-fixed,1500.0,minor,0.927,0.0,0.927,513.5,interactive
young2006_13,young2006,young2006_D,experimental,duplex,duplex,cold_formed,208000,536.0,5.0,measured,,,766.0,RHS,80.8,160.1,2.864,2200.0,fixed-fixed,1100.0,minor,0.330,0.0,0.330,515.3,interactive
young2006_14,young2006,young2006_D,experimental,duplex,duplex,cold_formed,208000,536.0,5.0,measured,,,766.0,RHS,80.9,160.4,2.878,3000.0,fixed-fixed,1500.0,minor,0.762,0.0,0.762,439.4,interactive
