specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,L,boundary_condition,Le,Le_source,buckling_axis,buckling_axis_source,w_0,w_e,w_total,w_total_norm,N_u,reported_failure_mode,A,I_major,I_minor,R,N_cr,epsilon,section_class,cs_slenderness_norm,lambda_0,A_eff,rho_eff,N_squash,lambda_bar,chi_exp,Delta,aspect_ratio,hardening_ratio,chi_perfect,chi_kgw,chi_eurocode,N_perfect,N_kgw,N_eurocode,kgw_convergence_flag,inferred_failure_mode,anomalous_interactive_mode,flexural_scope
afshan2013_01,afshan2013,afshan2013_A,experimental,1.4003,ferritic,cold_formed,211150,404,5.8,measured,451,3.1,472,RHS,79.9,120.0,2.87,1077,pin-pin,1077,reported,minor,derived,0.95,0.0,0.95,0.0008820798514391829,463,,1114.4783999999981,2286869.1763243177,1217334.473729919,33.049822596044244,2187.103550157982,0.7647670077502876,4,1.6956835358129492,0.4,889.8637716830754,0.7984576207875154,359.5049637599625,0.40543176571280837,1.2878820786161385,0.00191333175467677,1.5018773466833542,1.1683168316831682,0.9710399763414753,0.9715657861176131,0.9968269681311963,349.0936915041169,349.282722728632,358.364243052959,True,interactive,False,True
afshan2013_02,afshan2013,afshan2013_A,experimental,1.4003,ferritic,cold_formed,211150,404,5.8,measured,451,3.1,472,RHS,79.9,120.0,2.81,1577,pin-pin,1577,reported,minor,derived,0.96,0.09,1.05,0.0006658211794546608,382,,1091.8536000000004,2242829.034830322,1194353.6490755205,33.07381289670813,1000.8301621495369,0.7647670077502876,4,1.7337091957701465,0.4,858.3395672685698,0.7861306380897306,346.7691851765022,0.5886268336635302,1.1015973054398291,0.00191333175467677,1.5018773466833542,1.1683168316831682,0.829918531012391,0.8296964658691803,0.8825061282376744,287.7901727620465,287.7131674132792,306.0259310022481,True,interactive,False,True
afshan2013_03,afshan2013,afshan2013_A,experimental,1.4003,ferritic,cold_formed,211150,404,5.8,measured,451,3.1,472,RHS,79.8,120.0,2.78,2077,pin-pin,2077,reported,minor,derived,1.05,0.33,1.3800000000000001,0.0006644198363023593,391,,1079.974400000001,2218840.4319709875,1179487.2211677872,33.04759726860481,569.7850867766573,0.7647670077502876,4,1.7533375490214334,0.4,842.5114502807411,0.7801216864776983,340.37462591341944,0.7728995411685601,1.1487342775646798,0.00191333175467677,1.5037593984962407,1.1683168316831682,0.7261796361493031,0.7144687637066105,0.7510774962987076,247.17312200026208,243.18703817346082,255.64772183466027,True,interactive,False,True
afshan2013_04,afshan2013,afshan2013_A,experimental,1.4003,ferritic,cold_formed,211150,404,5.8,measured,451,3.1,472,RHS,79.8,119.7,2.73,2577,pin-pin,2577,reported,minor,derived,1.1,0.62,1.7200000000000002,0.0006674427629026,308,,1059.4583999999977,2168976.719866319,1157840.3619619187,33.05844246454783,363.3378808957959,0.7647670077502876,4,1.7823296333558023,0.4,816.4088136342879,0.7705907222353323,329.8291607082523,0.9527724381647904,0.9338167654388779,0.00191333175467677,1.5,1.1683168316831682,0.6411794176465262,0.5845026496189456,0.6182891853096161,211.4796691857597,192.78601835556648,203.92980306565974,True,interactive,False,True
afshan2013_05,afshan2013,afshan2013_B,experimental,1.4003,ferritic,cold_formed,217200,417,6.4,measured,475,3.3,475,RHS,39.9,59.9,2.79,1177,pin-pin,1177,reported,minor,derived,1.12,0.0,1.12,0.0009515717926932881,103,,525.7475999999997,256214.23439051994,134089.60295051997,15.970146605938098,207.4921856493242,0.7634597868782603,1,0.8306747621534226,0.4,525.7475999999997,1.0,219.23674919999988,1.0279116877869585,0.46981174632377765,0.001919889502762431,1.5012531328320802,1.1390887290167866,0.6231934470178705,0.5412884460129089,0.5662627930642243,136.6269054469403,118.67031928338979,124.14561394431279,True,global_flexural,False,True
afshan2013_06,afshan2013,afshan2013_B,experimental,1.4003,ferritic,cold_formed,217200,417,6.4,measured,475,3.3,475,RHS,39.8,59.9,2.72,1577,pin-pin,1577,reported,minor,derived,1.09,0.0,1.09,0.0006911857958148384,72,,512.7744,250331.3328019199,130597.71012351992,15.958961003933124,112.57235247033677,0.7634597868782603,2,0.8542484328690978,0.4,512.7744,1.0,213.8269248,1.3782097696158253,0.3367209254276288,0.001919889502762431,1.5050251256281408,1.1390887290167866,0.471924482151351,0.3649905219187497,0.37503454693929683,100.91016075625588,78.04480088303325,80.19248386579109,True,global_flexural,False,True
afshan2013_07,afshan2013,afshan2013_B,experimental,1.4003,ferritic,cold_formed,217200,417,6.4,measured,475,3.3,475,RHS,39.9,59.9,2.79,2077,pin-pin,2077,reported,minor,derived,1.05,0.33,1.3800000000000001,0.0006644198363023593,51,,525.7475999999997,256214.23439051994,134089.60295051997,15.970146605938098,66.63182033208999,0.7634597868782603,1,0.8306747621534226,0.4,525.7475999999997,1.0,219.23674919999988,1.8139104295102062,0.23262523361662776,0.001919889502762431,1.5012531328320802,1.1390887290167866,0.300867630048294,0.24913535900246328,0.23811689328877006,65.96124115129618,54.61962621847498,52.20397361423321,True,global_flexural,False,True
afshan2013_08,afshan2013,afshan2013_B,experimental,1.4003,ferritic,cold_formed,217200,417,6.4,measured,475,3.3,475,RHS,39.9,59.9,2.76,2577,pin-pin,2577,reported,minor,derived,0.95,0.77,1.72,0.0006674427629025999,30,,520.4256000000003,253889.49649472008,132925.01873472004,15.981739200285157,42.907919720633025,0.7634597868782603,2,0.8406313435737078,0.4,520.4256000000003,1.0,217.0174752000001,2.2489439077729636,0.1382377155219986,0.001919889502762431,1.5012531328320802,1.1390887290167866,0.1975095565941895,0.17717812915132994,0.16286664429910105,42.863025299942535,38.45075024908116,35.3449079400874,True,global_flexural,False,True
afshan2013_09,afshan2013,afshan2013_C,experimental,1.4003,ferritic,cold_formed,211250,404,6.3,measured,456,2.6,447,SHS,80.0,80.1,2.79,1577,pin-pin,1577,reported,-,symmetric,1.15,0.0,1.15,0.0007292327203551046,273,,862.2215999999999,859733.9064547193,858067.80174552,31.546512438009167,719.3739086335852,0.7649480819821965,4,1.1373609350356924,0.4,800.2623038254418,0.9281399396923504,323.3059707454785,0.6703930781373192,0.8444013556895252,0.0019124260355029585,1.00125,1.1064356435643565,0.7855057308692479,0.7825154304737141,0.8259614962889219,253.95869284481876,252.9919108726201,267.03828335607784,True,interactive,False,True
afshan2013_10,afshan2013,afshan2013_C,experimental,1.4003,ferritic,cold_formed,211250,404,6.3,measured,456,2.6,447,SHS,79.8,80.0,2.79,2077,pin-pin,2077,reported,-,symmetric,1.05,0.33,1.3800000000000001,0.0006644198363023593,222,,860.5475999999999,855571.87661772,852252.5893633201,31.469998038037296,411.9000070042253,0.7649480819821965,4,1.1358346857938304,0.4,799.706347509437,0.9292993757805346,323.0813643938125,0.8856457735859996,0.6871334111657342,0.0019124260355029585,1.0025062656641603,1.1064356435643565,0.6822871431610102,0.6455160628299155,0.6670610018028023,220.43426112081568,208.5542103172111,215.5149785963528,True,interactive,False,True
