specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,t_f,t_w,L,boundary_condition,Le,Le_source,buckling_axis,buckling_axis_source,w_0,w_e,w_total,w_total_norm,N_u,reported_failure_mode,A,I_major,I_minor,R,N_cr,epsilon,section_class,cs_slenderness_norm,lambda_0,A_eff,rho_eff,N_squash,lambda_bar,chi_exp,Delta,aspect_ratio,hardening_ratio,chi_perfect,chi_kgw,chi_eurocode,N_perfect,N_kgw,N_eurocode,kgw_convergence_flag,inferred_failure_mode,anomalous_interactive_mode,flexural_scope
gardner2016_01,gardner2016,gardner2016_A,experimental,1.4307,austenitic,laser_welded,193700,272.0,7.1,measured,328.0,2.4,615.0,I,140.64,139.73,9.73,11.88,9.73,1030.1,pin-pin,1030.1,reported,minor,reported,0.28,0.07,0.35000000000000003,0.0003397728375885837,1294.6,global_flexural,4469.9945,14959105.299685456,5516874.8168844925,35.13120694398224,9939.48130702479,0.8926981651183128,1,0.5610855178326315,0.2,4469.9945,1.0,1215.838504,0.34974868135257414,1.0647795704288698,0.0014042333505420754,1.0065125599370213,2.261029411764706,0.9536826152625254,0.9538787056064909,0.8867946809724135,1159.5240442315965,1159.7624584220523,1078.1991182686565,True,global_flexural,False,True
gardner2016_02,gardner2016,gardner2016_A,experimental,1.4307,austenitic,laser_welded,193700,272.0,7.1,measured,328.0,2.4,615.0,I,140.62,140.17,9.86,11.91,9.86,2032.1,pin-pin,2032.1,reported,minor,reported,0.29,1.13,1.42,0.000698784508636386,950.6,global_flexural,4496.779399999999,15109400.191940919,5528820.390239048,35.06432229016827,2559.597610439514,0.8926981651183128,1,0.5590309175717811,0.2,4496.779399999999,1.0,1223.1239967999998,0.6912726832397863,0.777190213328337,0.0014042333505420754,1.0032103873867448,2.261029411764706,0.7522999589522392,0.7460767780316006,0.6488611772872218,920.1561325861386,912.5444106656776,793.6376765319,True,global_flexural,False,True
gardner2016_03,gardner2016,gardner2016_B,experimental,1.4307,austenitic,laser_welded,190700,270.0,4.0,measured,361.0,3.2,694.0,I,50.53,50.43,4.03,4.05,4.03,1631.1,pin-pin,1631.1,reported,minor,reported,0.38,0.15,0.53,0.00032493409355649564,56.0,global_flexural,579.8829000000001,246139.7717390176,87317.5444092175,12.27101835699805,61.77187397461156,0.8890327264575371,1,0.5870262211437823,0.2,579.8829000000001,1.0,156.56838300000004,1.5920497862706582,0.35767119086872085,0.001415836392239119,1.0019829466587349,2.5703703703703704,0.3286316545768418,0.22349793724674788,0.25309541971889943,51.453326759710684,34.9927106385588,39.62674061009441,True,global_flexural,False,True
gardner2016_04,gardner2016,gardner2016_B,experimental,1.4307,austenitic,laser_welded,190700,270.0,4.0,measured,361.0,3.2,694.0,I,50.54,50.68,4.0,4.02,4.0,1931.1,pin-pin,1931.1,reported,minor,reported,0.7,0.82,1.52,0.0007871161514162913,33.9,global_flexural,576.9015999999999,247556.6933022933,86720.32463421332,12.260539356375258,43.76851437473295,0.8890327264575371,1,0.5919157510550906,0.2,576.9015999999999,1.0,155.76343199999997,1.8864784608970244,0.21763773155691643,0.001415836392239119,1.002770083102493,2.5703703703703704,0.25652548627552846,0.17296309203031818,0.19419673847237,39.957290137745204,26.941324823974202,30.248750467662784,True,global_flexural,False,True
gardner2016_05,gardner2016,gardner2016_C,experimental,1.4307,austenitic,laser_welded,197500,286.0,7.5,measured,342.0,2.7,619.0,I,83.23,160.86,9.88,11.84,9.88,1730.1,pin-pin,1730.1,reported,minor,reported,0.15,1.07,1.22,0.000705161551355413,449.5,global_flexural,3326.2248,13090309.519838644,1148757.4714129602,18.583964871450878,748.0881615337802,0.8790727488489777,1,0.5144825643803844,0.2,3326.2248,1.0,951.3002928,1.1276710317028016,0.47251115489197293,0.0014481012658227848,1.9327165685449958,2.164335664335664,0.5895376986021772,0.4736107520113319,0.40655756489386286,560.8273852968892,450.5460470616082,386.7583305235867,True,global_flexural,False,True
gardner2016_06,gardner2016,gardner2016_C,experimental,1.4307,austenitic,laser_welded,197500,286.0,7.5,measured,342.0,2.7,619.0,I,82.8,160.49,9.88,11.85,9.88,2323.1,pin-pin,2323.1,reported,minor,reported,0.43,1.24,1.67,0.0007188670311222074,286.5,global_flexural,3313.8452,12969345.038429774,1132129.2166089064,18.483401203794664,408.90934330577625,0.8790727488489777,1,0.5130199007260008,0.2,3313.8452,1.0,947.7597272,1.5224239527512753,0.3022918064332793,0.0014481012658227848,1.9382850241545895,2.164335664335664,0.4168276790163166,0.3260402199030985,0.27058804496078265,395.0524873539134,309.00778987158867,256.45245167561274,True,global_flexural,False,True
gardner2016_07,gardner2016,gardner2016_D,experimental,1.4571,austenitic,laser_welded,186800,222.0,3.2,measured,331.0,3.9,580.0,I,67.96,101.56,5.0,5.0,5.03,931.1,pin-pin,931.1,reported,minor,reported,0.11,0.69,0.7999999999999999,0.0008591987971216839,234.4,global_flexural,1140.1468,1907274.4459843729,262535.5593243433,15.17447523490995,558.3057479069562,0.9703674776150742,1,0.6110309250295801,0.2,1140.1468,1.0,253.1125896,0.6733189291338479,0.9260700954086403,0.0011884368308351177,1.4944084755738671,2.6126126126126126,0.6749706730609875,0.6726556393545791,0.6606996485647013,170.8435749625215,170.2576107860812,167.23139899602148,True,global_flexural,False,True
gardner2016_08,gardner2016,gardner2016_D,experimental,1.4571,austenitic,laser_welded,186800,222.0,3.2,measured,331.0,3.9,580.0,I,67.96,101.51,5.02,5.04,5.02,1330.1,pin-pin,1330.1,reported,minor,reported,0.08,0.57,0.6499999999999999,0.0004886850612735884,169.0,global_flexural,1144.0154,1915000.9942117818,264620.9252815266,15.208842291584052,275.7605991717517,0.9703674776150742,1,0.611378827419758,0.2,1144.0154,1.0,253.9714188,0.9596797159889557,0.665429207737292,0.0011884368308351177,1.4936727486756918,2.6126126126126126,0.49995367933958207,0.44198761614804954,0.4880852326082951,126.97394527615391,112.25222196514994,123.95969902085675,True,global_flexural,False,True
gardner2016_09,gardner2016,gardner2016_D,experimental,1.4571,austenitic,laser_welded,186800,222.0,3.2,measured,331.0,3.9,580.0,I,67.99,101.8,5.02,5.02,5.03,1730.1,pin-pin,1730.1,reported,minor,reported,0.33,0.72,1.05,0.0006069013351829375,117.2,global_flexural,1144.1724,1923702.4626619208,263931.8697702899,15.187985838300905,162.56462234478386,0.9703674776150742,1,0.6123656365303,0.2,1144.1724,1.0,254.00627279999998,1.2499976634163112,0.46140592792478474,0.0011884368308351177,1.497279011619356,2.6126126126126126,0.3853512664115719,0.2746836938310251,0.35675171572484743,97.8816388999632,69.77138126895503,90.61717362627364,True,global_flexural,False,True
gardner2016_10,gardner2016,gardner2016_D,experimental,1.4571,austenitic,laser_welded,186800,222.0,3.2,measured,331.0,3.9,580.0,I,67.88,101.76,4.98,4.98,4.99,2030.1,pin-pin,2030.1,reported,minor,reported,0.33,1.52,1.85,0.000911285158366583,84.3,global_flexural,1134.1668,1906209.3372062396,260549.86954110998,15.156780629129923,116.55545791145308,0.9703674776150742,1,0.6175434612258786,0.2,1134.1668,1.0,251.78502959999997,1.4697675168754447,0.33480942109196793,0.0011884368308351177,1.4991160872127285,2.6126126126126126,0.32100176976034267,0.20931670636888594,0.2849206062902646,80.82344010076025,52.70281310886445,71.73874328844421,True,global_flexural,False,True
