specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,L,boundary_condition,Le,Le_source,buckling_axis,buckling_axis_source,w_0,w_e,w_total,w_total_norm,N_u,reported_failure_mode,A,I_major,I_minor,R,N_cr,epsilon,section_class,cs_slenderness_norm,lambda_0,A_eff,rho_eff,N_squash,lambda_bar,chi_exp,Delta,aspect_ratio,hardening_ratio,chi_perfect,chi_kgw,chi_eurocode,N_perfect,N_kgw,N_eurocode,kgw_convergence_flag,inferred_failure_mode,anomalous_interactive_mode,flexural_scope
huang2013_01,huang2013,huang2013_A,experimental,1.4162,lean_duplex,cold_formed,198000,683.0,7.0,measured,,,764.0,RHS,30.1,50.1,2.563,550.0,pin-pin,660.0,reported,minor,reported,0.32,-0.31,0.010000000000000009,1.5151515151515165e-05,154.2,global_flexural,384.82932400000004,126108.89955930859,55478.6327673886,12.006842004626243,248.88734460338125,0.5695692402430818,4,1.003524562478468,0.4,384.46547358369264,0.9990545148365373,262.58991845766207,1.0271588610525402,0.5872274187284231,0.0034494949494949497,1.6644518272425248,1.1185944363103952,0.6786712169255482,0.615160924740145,0.5667674154582165,178.212219512042,161.5350570658547,148.82740940963296,True,interactive,False,True
huang2013_02,huang2013,huang2013_A,experimental,1.4162,lean_duplex,cold_formed,198000,683.0,7.0,measured,,,764.0,RHS,30.2,50.5,2.574,900.0,pin-pin,1010.0,reported,minor,reported,0.32,-0.05,0.27,0.00026732673267326735,85.4,global_flexural,388.94169599999987,129377.61998089838,56491.34835312882,12.0517112721464,108.21915257841725,0.5695692402430818,4,1.0076344307673089,0.4,388.025403276748,0.9976441386133827,265.0213504380189,1.5649064007816043,0.3222381889566769,0.0034494949494949497,1.6721854304635762,1.1185944363103952,0.40151356686914996,0.3447769477456711,0.30571008834066965,106.40966771084793,91.37325229145603,81.01970045457033,True,interactive,False,True
huang2013_03,huang2013,huang2013_A,experimental,1.4162,lean_duplex,cold_formed,198000,683.0,7.0,measured,,,764.0,RHS,30.2,50.1,2.56,1200.0,pin-pin,1310.0,reported,minor,reported,0.51,-0.37,0.14,0.0001068702290076336,55.3,global_flexural,384.9215999999999,126277.18300671996,55862.80394752,12.046897748292212,63.61288245914095,0.5695692402430818,4,1.0048346053447328,0.4,384.3857580686867,0.9986079192975578,262.535472760913,2.0315216661789752,0.21063820221490925,0.0034494949494949497,1.6589403973509935,1.1185944363103952,0.24210417312537363,0.22554349083812608,0.19529187856249147,63.5609335488599,59.213166995334085,51.27104566477051,True,interactive,False,True
huang2013_04,huang2013,huang2013_A,experimental,1.4162,lean_duplex,cold_formed,198000,683.0,7.0,measured,,,764.0,RHS,30.1,50.4,2.551,1550.0,pin-pin,1660.0,reported,minor,reported,0.64,-0.45,0.19,0.0001144578313253012,36.2,global_flexural,384.6805959999999,127502.17467001721,55570.16785924687,12.019065839218937,39.4085511351552,0.5695692402430818,4,1.0155087418044817,0.4,382.7379243583196,0.9949499099723753,261.4100023367323,2.5755255725945387,0.13847978147894047,0.0034494949494949497,1.6744186046511627,1.1185944363103952,0.15074662002409198,0.14645313384223674,0.12730986377072978,39.40667429275238,38.284314059920874,33.28007178579554,True,interactive,False,True
huang2013_05,huang2013,huang2013_B,experimental,1.4162,lean_duplex,cold_formed,194000,610.0,5.0,measured,,,734.0,SHS,50.5,50.5,1.507,900.0,pin-pin,1010.0,reported,-,symmetric,0.38,0.13,0.51,0.000504950495049505,120.8,global_flexural,295.3298040000004,118259.16434761028,118259.16434761028,20.010768342736533,221.96961745846377,0.596568380777102,4,1.7204962451862944,0.4,205.3430471192379,0.6953007936822984,125.25925874273511,0.7512044498574084,0.9643997674304157,0.0031443298969072164,1.0,1.20327868852459,0.7904827889584216,0.7886524056657626,0.76718234972825,99.0152881938218,98.78601573936825,96.09669244747036,True,interactive,False,True
huang2013_06,huang2013,huang2013_B,experimental,1.4162,lean_duplex,cold_formed,194000,610.0,5.0,measured,,,734.0,SHS,50.4,50.5,1.497,1200.0,pin-pin,1310.0,reported,-,symmetric,0.32,0.09,0.41000000000000003,0.00031297709923664124,92.3,global_flexural,293.13056400000005,117365.0728643317,117006.2206502452,19.979008149417883,130.54728243994614,0.596568380777102,4,1.7327186796918168,0.4,202.8721491747853,0.6920880115892155,123.75201099661903,0.9736261160618487,0.7458464654972086,0.0031443298969072164,1.001984126984127,1.20327868852459,0.6591589146628473,0.616842245363336,0.603534893936453,81.57224125587614,76.33546833138273,74.68865683126724,True,interactive,False,True
huang2013_07,huang2013,huang2013_B,experimental,1.4162,lean_duplex,cold_formed,194000,610.0,5.0,measured,,,734.0,SHS,50.7,50.8,1.51,1550.0,pin-pin,1660.0,reported,-,symmetric,0.32,0.16,0.48,0.0002891566265060241,65.4,global_flexural,297.4096000000004,120478.24256405351,120112.01670725348,20.096283004671413,83.45872739556529,0.596568380777102,4,1.7277089834029398,0.4,206.29146382329694,0.6936274546056908,125.83779293221113,1.2279188524459408,0.5197166803078866,0.0031443298969072164,1.001972386587771,1.20327868852459,0.5300996731176699,0.4428162081363818,0.44632980186603405,66.70657289921415,55.723014306492914,56.16515718669282,True,interactive,False,True
huang2013_08,huang2013,huang2013_C,experimental,1.4162,lean_duplex,cold_formed,198000,635.0,6.0,measured,,,756.0,SHS,50.0,50.1,2.487,900.0,pin-pin,1010.0,reported,-,symmetric,0.32,-0.27,0.04999999999999999,4.9504950495049495e-05,242.8,global_flexural,473.15672399999994,179168.25465052578,178605.1232756755,19.428731573256176,342.149650354147,0.5907041421702178,4,1.0005589061735185,0.4,473.15672399999994,1.0,300.45451973999997,0.9370900368604714,0.8081089950322877,0.003207070707070707,1.002,1.1905511811023621,0.6996985762123138,0.6623586171017083,0.6295232184982469,210.22759967863252,199.0086401969443,189.14309627906982,True,interactive,False,True
huang2013_09,huang2013,huang2013_C,experimental,1.4162,lean_duplex,cold_formed,198000,635.0,6.0,measured,,,756.0,SHS,50.0,50.2,2.52,1200.0,pin-pin,1310.0,reported,-,symmetric,0.32,0.05,0.37,0.00028244274809160303,146.1,global_flexural,479.6063999999999,182038.64284031992,180896.59402751992,19.421050165204914,205.99312887949705,0.5907041421702178,3,0.988200344013428,0.4,479.6063999999999,1.0,304.55006399999996,1.21591434011049,0.4797240824089927,0.003207070707070707,1.004,1.1905511811023621,0.5604405936373752,0.46930208786285155,0.45270469516912343,170.6822186604606,142.92598089396503,137.871243886857,True,global_flexural,False,True
huang2013_10,huang2013,huang2013_C,experimental,1.4162,lean_duplex,cold_formed,198000,635.0,6.0,measured,,,756.0,SHS,50.0,50.3,2.489,1550.0,pin-pin,1660.0,reported,-,symmetric,0.44,0.11,0.55,0.0003313253012048193,103.9,global_flexural,474.51291600000036,180987.09361190523,179289.37523982767,19.438075194830716,127.14617904385317,0.5907041421702178,4,1.0040972510958668,0.4,474.08300387059603,0.999093992776786,301.04270745782844,1.5387299211763317,0.3451337548661757,0.003207070707070707,1.006,1.1905511811023621,0.4056747578173353,0.33489525025201416,0.3143220543133141,122.12542744062948,100.81777285063335,94.62436224418668,True,interactive,False,True
