specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,L,boundary_condition,Le,Le_source,buckling_axis,buckling_axis_source,w_0,w_e,w_0_1,w_e_1,w_0_2,w_e_2,w_total,w_total_norm,N_u,reported_failure_mode,A,I_major,I_minor,R,N_cr,epsilon,section_class,cs_slenderness_norm,lambda_0,A_eff,rho_eff,N_squash,lambda_bar,chi_exp,Delta,aspect_ratio,hardening_ratio,chi_perfect,chi_kgw,chi_eurocode,N_perfect,N_kgw,N_eurocode,kgw_convergence_flag,inferred_failure_mode,anomalous_interactive_mode,flexural_scope
rasmussen1993_01,rasmussen1993,rasmussen1993_A,experimental,304L,austenitic,cold_formed,191000,440.0,3.0,measured,,,,SHS,80.5,80.5,2.9,1001.0,pin-pin,1451.0,reported,-,symmetric,0.3,0.4,0.3,0.4,0.2,-0.2,0.7,0.0004824259131633356,390.0,global_flexural,900.1599999999999,904686.3045333329,904686.3045333329,31.70218183868948,810.0210473776933,0.6969708733285762,4,1.2038423000374867,0.4,805.9015962693602,0.8952870559337899,354.5967023585185,0.6616361021109147,1.0998410233541502,0.0023036649214659686,1.0,,0.824501434839713,0.8294866835398168,0.8321761611553494,292.36548988402916,294.133242633523,295.08692252705794,True,interactive,False,True
rasmussen1993_02,rasmussen1993,rasmussen1993_A,experimental,304L,austenitic,cold_formed,191000,440.0,3.0,measured,,,,SHS,80.3,80.3,2.98,1001.0,pin-pin,1451.0,reported,-,symmetric,0.6,0.3,0.6,0.3,-0.3,-0.2,1.0295630140987,0.0007095541103368022,344.0,global_flexural,921.6543999999985,919697.850596052,919697.850596052,31.589193299819062,823.4618038073538,0.6969708733285762,4,1.165878485287376,0.4,842.1816694075892,0.9137716582350072,370.5599345393393,0.6708223147219823,0.9283248617464346,0.0023036649214659686,1.0,,0.8145565134760093,0.8194974295761974,0.8256559746452059,301.84200831226246,303.6729138589125,305.95502391654185,True,interactive,False,True
rasmussen1993_03,rasmussen1993,rasmussen1993_A,experimental,304L,austenitic,cold_formed,191000,440.0,3.0,measured,,,,SHS,80.4,80.4,2.99,2000.0,pin-pin,2450.0,reported,-,symmetric,0.1,0.5,0.1,0.5,0.1,-0.7,0.848528137423857,0.00034633801527504367,193.0,global_flexural,925.8236000000006,926016.2021695875,926016.2021695875,31.62606572644365,290.8168254265532,0.6969708733285762,4,1.163229674593537,0.4,847.2039129654445,0.9150813534732145,372.76972170479553,1.1321671511555653,0.5177459132607366,0.0023036649214659686,1.0,,0.4842995913566445,0.42242736112688273,0.5001239754578407,180.53222389176258,157.46812984775923,186.43107514931526,True,interactive,False,True
rasmussen1993_04,rasmussen1993,rasmussen1993_A,experimental,304L,austenitic,cold_formed,191000,440.0,3.0,measured,,,,SHS,80.6,80.6,2.93,2000.0,pin-pin,2450.0,reported,-,symmetric,0.7,3.4,0.7,3.4,-0.3,-0.6,4.197618372363071,0.0017133136213726822,158.0,global_flexural,910.2923999999994,916545.1681525199,916545.1681525199,31.731198632681167,287.84243249487736,0.6969708733285762,4,1.19215429711531,0.4,820.1012156529059,0.9009206444576562,360.84453488727866,1.1196509630856113,0.43786169589448365,0.0023036649214659686,1.0,,0.49044090700061826,0.4306504101069378,0.5076550227144637,176.97292097633317,155.39784693405377,183.18454055459154,True,interactive,False,True
rasmussen1993_05,rasmussen1993,rasmussen1993_A,experimental,304L,austenitic,cold_formed,191000,440.0,3.0,measured,,,,SHS,80.7,80.7,2.95,3002.0,pin-pin,3452.0,reported,-,symmetric,1.6,0.5,1.6,0.5,-1.1,-0.4,2.5806975801127883,0.0007475948957453036,96.0,global_flexural,917.4500000000007,925671.1165416678,925671.1165416678,31.764143831265685,146.4361328499307,0.6969708733285762,4,1.1850224478666374,0.4,829.726444247128,0.9043832843720392,365.07963546873634,1.5789547294914117,0.26295632698532423,0.0023036649214659686,1.0,,0.3176377680807745,0.2352098699761268,0.30122208910654236,115.96308058203216,85.87033358953325,109.9700504861477,True,interactive,False,True
rasmussen1993_06,rasmussen1993,rasmussen1993_A,experimental,304L,austenitic,cold_formed,191000,440.0,3.0,measured,,,,SHS,80.2,80.2,2.98,3001.0,pin-pin,3451.0,reported,-,symmetric,2.1,3.2,2.1,3.2,-0.2,-0.3,5.323532661682466,0.0015426058132954118,98.0,global_flexural,920.4623999999994,916137.5767315194,916137.5767315194,31.548398797192018,145.01198277971613,0.6969708733285762,4,1.1643101795498358,0.4,841.8059321975209,0.9145467888721162,370.39461016690916,1.5981972674785003,0.264582683737862,0.0023036649214659686,1.0,,0.3122289536764505,0.23026678038086254,0.2952216062640375,115.64792157981081,85.28957435355886,109.34849176501692,True,interactive,False,True
rasmussen1993_07,rasmussen1993,rasmussen1993_B,experimental,304L,austenitic,cold_formed,201000,380.0,6.0,measured,,,,CHS,101.4,,2.98,1000.0,pin-pin,1450.0,reported,-,symmetric,0.1,-0.6,0.1,-0.6,0.2,0.4,0.7810249675906655,0.0005386379086832177,328.0,global_flexural,921.4027359195948,1116668.3386614213,1116668.3386614213,34.81267154356299,1053.6199879723144,0.7693616140886435,2,0.6387312331673065,0.4,921.4027359195948,1.0,350.133039649446,0.5764671268086778,0.9367867720464037,0.001890547263681592,1.0,,0.8363824146834242,0.8362114574571393,0.8906155681951261,292.8451171624508,292.7852593891616,311.833936051278,True,global_flexural,False,True
rasmussen1993_08,rasmussen1993,rasmussen1993_B,experimental,304L,austenitic,cold_formed,201000,380.0,6.0,measured,,,,CHS,101.5,,2.98,1001.0,pin-pin,1451.0,reported,-,symmetric,0.2,1.7,0.2,1.7,0.2,-0.2,1.9,0.0013094417643004824,303.0,global_flexural,922.3389305303652,1120073.501462347,1120073.501462347,34.848010703625526,1055.3766974912837,0.7693616140886435,2,0.6393611456260514,0.4,922.3389305303652,1.0,350.4887936015388,0.5762796952983525,0.8645069558043345,0.001890547263681592,1.0,,0.836500403965343,0.836332026045629,0.8907399425930256,293.1840174330129,293.1250028590632,312.19436789213347,True,global_flexural,False,True
rasmussen1993_09,rasmussen1993,rasmussen1993_B,experimental,304L,austenitic,cold_formed,201000,380.0,6.0,measured,,,,CHS,101.5,,2.95,2000.0,pin-pin,2450.0,reported,-,symmetric,0.3,-0.3,0.3,-0.3,0.0,0.1,0.1,4.0816326530612245e-05,241.0,global_flexural,913.3316702332596,1109789.883332727,1109789.883332727,34.858293489498294,366.77894385370274,0.7693616140886435,2,0.6458631233781806,0.4,913.3316702332596,1.0,347.06603468863864,0.9727558676542185,0.6943923516347745,0.001890547263681592,1.0,,0.6361438937839244,0.5720055109428199,0.6041461319530731,220.78393870697718,198.5236845029732,209.67860238943211,True,global_flexural,False,True
rasmussen1993_10,rasmussen1993,rasmussen1993_B,experimental,304L,austenitic,cold_formed,201000,380.0,6.0,measured,,,,CHS,101.4,,2.92,2001.0,pin-pin,2451.0,reported,-,symmetric,0.7,1.4,0.7,1.4,0.1,-0.6,2.15870331449229,0.0008807439063616034,198.0,global_flexural,903.4014100145266,1096146.2564876128,1096146.2564876128,34.833239872282924,361.9742569824823,0.7693616140886435,2,0.6518558475474565,0.4,903.4014100145266,1.0,343.2925358055201,0.9738528457728026,0.5767675651187758,0.001890547263681592,1.0,,0.6356641666551038,0.5711686179859522,0.6033757115565342,218.21876369173333,196.07792324093194,207.1343780637027,True,global_flexural,False,True
