specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,L,boundary_condition,Le,Le_source,buckling_axis,buckling_axis_source,w_0,w_e,w_total,w_total_norm,N_u,reported_failure_mode,A,I_major,I_minor,R,N_cr,epsilon,section_class,cs_slenderness_norm,lambda_0,A_eff,rho_eff,N_squash,lambda_bar,chi_exp,Delta,aspect_ratio,hardening_ratio,chi_perfect,chi_kgw,chi_eurocode,N_perfect,N_kgw,N_eurocode,kgw_convergence_flag,inferred_failure_mode,anomalous_interactive_mode,flexural_scope
sun2020_01,sun2020,sun2020_A,experimental,1.442,austenitic,welded,187900,339.0,3.5,measured,398.0,2.5,718.0,I,99.17,149.49,6.04,799.0,pin-pin,909.0,reported,minor,reported,0.13,0.19,0.32,0.00035203520352035205,583.0,global_flexural,2027.93,7472490.358171222,984331.3169846068,22.031505302244998,2209.2255724136844,0.7875675700168991,3,0.9409254183243885,0.2,2027.93,1.0,687.4682700000001,0.5578356919602856,0.8480391393191135,0.001804151144225652,1.5074115155793084,2.117994100294985,0.8662475854671611,0.8682526845179208,0.7390044048748193,595.5177289727865,596.8961709483908,508.04207974167167,True,global_flexural,False,True
sun2020_02,sun2020,sun2020_A,experimental,1.442,austenitic,welded,187900,339.0,3.5,measured,398.0,2.5,718.0,I,99.47,149.31,5.97,949.0,pin-pin,1059.0,reported,minor,reported,0.23,0.18,0.41000000000000003,0.00038715769593956564,506.7,global_flexural,2007.7706999999998,7393750.105054523,981698.9557578025,22.11220787298676,1623.3528742916496,0.7875675700168991,3,0.9516809300364185,0.2,2007.7706999999998,1.0,680.6342672999999,0.6475159013033401,0.7444526735481924,0.001804151144225652,1.5010555946516537,2.117994100294985,0.7774507482605615,0.7786059654775215,0.677890135828297,529.159620404164,529.9459008282018,461.39525590939036,True,global_flexural,False,True
sun2020_03,sun2020,sun2020_A,experimental,1.442,austenitic,welded,187900,339.0,3.5,measured,398.0,2.5,718.0,I,99.25,149.48,5.99,1150.0,pin-pin,1260.0,reported,minor,reported,0.29,0.21,0.5,0.0003968253968253968,473.6,global_flexural,2012.64,7421463.956012994,978501.5265250001,22.04944710326143,1143.0018748825444,0.7875675700168991,3,0.9494009797985904,0.2,2012.64,1.0,682.2849600000001,0.7726084035688263,0.6941381208227131,0.001804151144225652,1.5060957178841308,2.117994100294985,0.6782530929385566,0.6719099698070832,0.5966829526579988,462.76188438545944,458.434066873427,407.1078044869446,True,global_flexural,False,True
sun2020_04,sun2020,sun2020_A,experimental,1.442,austenitic,welded,187900,339.0,3.5,measured,398.0,2.5,718.0,I,99.38,149.51,6.0,1449.0,pin-pin,1559.0,reported,minor,reported,0.29,0.14,0.43,0.0002758178319435536,379.3,global_flexural,2017.62,7443895.088489495,983990.2616719999,22.083897006403177,750.8014374837576,0.7875675700168991,3,0.9478875770973382,0.2,2017.62,1.0,683.97318,0.9544583649722961,0.554553908093297,0.001804151144225652,1.5044274501911854,2.117994100294985,0.5665680213602132,0.5225192922777381,0.4908694350797901,387.51733125605296,357.38918195055396,335.7415284763276,True,global_flexural,False,True
sun2020_05,sun2020,sun2020_A,experimental,1.442,austenitic,welded,187900,339.0,3.5,measured,398.0,2.5,718.0,I,99.41,149.38,5.98,1749.0,pin-pin,1859.0,reported,minor,reported,0.4,0.19,0.5900000000000001,0.0003173749327595482,330.9,global_flexural,2010.7152,7408983.488416647,981578.4506326499,22.094655132937312,526.7357088451586,0.7875675700168991,3,0.9504353043929394,0.2,2010.7152,1.0,681.6324528000001,1.1375716203163633,0.4854522384325066,0.001804151144225652,1.5026657277939846,2.117994100294985,0.4785674288584048,0.3929197817386625,0.4022360569813705,326.20709036294403,267.8268745801652,274.17715012481216,True,global_flexural,False,True
sun2020_06,sun2020,sun2020_A,experimental,1.442,austenitic,welded,187900,339.0,3.5,measured,398.0,2.5,718.0,I,119.18,149.34,6.01,848.0,pin-pin,958.0,reported,minor,reported,0.16,0.26,0.42000000000000004,0.00043841336116910235,681.6,global_flexural,2257.8368,8658537.378565356,1698123.014562497,27.424473608212995,3431.347129379897,0.7875675700168991,4,1.0867917634669395,0.2,2217.749127758119,0.9822450975013424,751.8169543100023,0.46808392846173763,0.9066036567711544,0.001804151144225652,1.2530625943950326,2.117994100294985,0.9777660169900855,0.9795110527433682,0.8018178845318749,735.1010689213081,736.4130163865032,602.8202798600432,True,interactive,False,True
sun2020_07,sun2020,sun2020_A,experimental,1.442,austenitic,welded,187900,339.0,3.5,measured,398.0,2.5,718.0,I,119.32,149.08,6.0,1047.0,pin-pin,1157.0,reported,minor,reported,0.24,0.2,0.44,0.00038029386343993085,614.0,global_flexural,2254.3199999999997,8620342.071199998,1701257.5895679996,27.47117628427433,2356.838821840092,0.7875675700168991,4,1.0900459607122062,0.2,2212.6829952411636,0.9815301267083484,750.0995353867544,0.5641498884474729,0.8185580326795151,0.001804151144225652,1.24941334227288,2.117994100294985,0.8593630342911576,0.8613613005096438,0.7346414283494949,644.6078127503488,646.1067113124143,551.0541940808178,True,interactive,False,True
sun2020_08,sun2020,sun2020_A,experimental,1.442,austenitic,welded,187900,339.0,3.5,measured,398.0,2.5,718.0,I,119.22,149.38,6.03,1399.0,pin-pin,1509.0,reported,minor,reported,0.31,0.32,0.63,0.00041749502982107355,561.8,global_flexural,2265.8328,8691919.928159162,1705504.18428621,27.435473817041576,1388.9954886371972,0.7875675700168991,4,1.08337857388854,0.2,2227.2449063581785,0.9829696641156304,755.0360232554225,0.7372816393120681,0.7440704584898298,0.001804151144225652,1.252977688307331,2.117994100294985,0.7039652849736957,0.7009526576062051,0.6190335181244981,531.5191492764094,529.2445070893089,467.3926057865346,True,interactive,False,True
sun2020_09,sun2020,sun2020_A,experimental,1.442,austenitic,welded,187900,339.0,3.5,measured,398.0,2.5,718.0,I,119.63,149.52,6.0,1701.0,pin-pin,1811.0,reported,minor,reported,0.37,0.26,0.63,0.00034787410270568746,465.3,global_flexural,2260.6800000000003,8697091.412160004,1714540.593347,27.539391490199893,969.4767465948662,0.7875675700168991,4,1.0930279078338154,0.2,2217.488713761915,0.9808945599385648,751.7286739652891,0.8805658927410769,0.6189733292274083,0.001804151144225652,1.2498537156231715,2.117994100294985,0.6083450053633604,0.5833271596200158,0.5318491070802598,457.31038419520564,438.503752189093,399.80622401506673,True,interactive,False,True
sun2020_10,sun2020,sun2020_A,experimental,1.442,austenitic,welded,187900,339.0,3.5,measured,398.0,2.5,718.0,I,119.48,149.08,6.0,1848.0,pin-pin,1958.0,reported,minor,reported,0.42,0.29,0.71,0.00036261491317671093,437.5,global_flexural,2256.24,8630174.336672002,1708100.6433920003,27.514655587757154,826.2559631244893,0.7875675700168991,4,1.091585030194327,0.2,2213.802262961554,0.9811909473112586,750.4789671439668,0.9530418223589392,0.582961041086809,0.001804151144225652,1.24774020756612,2.117994100294985,0.5673298171581632,0.5236665313373277,0.49162736081533476,425.7690952108338,393.00071756590137,368.95599396440673,True,interactive,False,True
