specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,L,Le,Le_source,buckling_axis,buckling_axis_source,w_0,w_e,w_total,w_total_norm,N_u,reported_failure_mode,A,I_major,I_minor,R,N_cr,epsilon,section_class,cs_slenderness_norm,lambda_0,A_eff,rho_eff,N_squash,lambda_bar,chi_exp,Delta,aspect_ratio,hardening_ratio,chi_perfect,chi_kgw,chi_eurocode,N_perfect,N_kgw,N_eurocode,kgw_convergence_flag,inferred_failure_mode,anomalous_interactive_mode,flexural_scope
theofanous2009_01,theofanous2009,theofanous2009_B,experimental,1.4162,lean_duplex,cold_formed,197200,657,4.7,measured,770,2.6,773,SHS,79.5,79.6,3.8,1999.0,1999.0,reported,-,symmetric,0.41,0.92,1.33,0.0006653326663331666,361.9,global_flexural,1151.3999999999996,1104996.375999999,1102814.083499999,30.94838844794268,537.134900108663,0.5795555302099544,4,1.0649162889372676,0.4,1112.415084253667,0.9661412925600723,730.8567103546591,1.1664723095543665,0.4951723024125791,0.0033316430020283974,1.0012578616352201,1.1765601217656012,0.5560628727453346,0.47928801114719777,0.48007382601126397,406.40228192501667,350.2908591394681,350.86517720596737,True,interactive,False,True
theofanous2009_02,theofanous2009,theofanous2009_B,experimental,1.4162,lean_duplex,cold_formed,197200,657,4.7,measured,770,2.6,773,SHS,79.6,79.3,3.72,1199.5,1199.5,reported,-,symmetric,0.1,0.7,0.7999999999999999,0.0006669445602334305,672.5,global_flexural,1126.8624,1082900.5365171197,1076495.1002859194,30.907977307049407,1456.1905516237682,0.5795555302099544,4,1.0902350872047126,0.4,1074.7279574679956,0.9537348636958652,706.0962680564731,0.6963424218809622,0.9524197059574515,0.0033316430020283974,1.0037831021437578,1.1765601217656012,0.8373464464965908,0.8394266068512235,0.8073479019620867,591.247200941592,592.7159944049572,570.0653405986528,True,interactive,False,True
theofanous2009_03,theofanous2009,theofanous2009_C,experimental,1.4162,lean_duplex,cold_formed,206400,711,5.0,measured,845,2.7,839,SHS,60.0,60.0,3.13,1999.0,1999.0,reported,-,symmetric,0.31,1.02,1.33,0.0006653326663331666,162.3,global_flexural,712.0123999999996,384960.63518718653,384960.63518718653,23.252217815368354,196.24571030021656,0.5699599371163039,3,0.9812295512694413,0.4,712.0123999999996,1.0,506.24081639999974,1.6061218588144448,0.32059840839020914,0.003444767441860465,1.0,1.180028129395218,0.3680480634209267,0.30048239726469494,0.29279871436760524,186.32095210064884,152.11645410510823,148.2266602023268,True,global_flexural,False,True
theofanous2009_04,theofanous2009,theofanous2009_C,experimental,1.4162,lean_duplex,cold_formed,206400,711,5.0,measured,845,2.7,839,SHS,60.0,59.6,3.15,1599.0,1599.0,reported,-,symmetric,0.32,0.75,1.07,0.0006691682301438399,231.7,global_flexural,713.7899999999995,384989.4704249999,380941.6994249998,23.101704681557173,303.50861699021135,0.5699599371163039,3,0.9742738063156465,0.4,713.7899999999995,1.0,507.50468999999964,1.2931071621494656,0.45654750500926433,0.003444767441860465,1.006711409395973,1.180028129395218,0.5038122236829172,0.41833788228004637,0.41351321743322633,255.68706639840937,212.30843726179128,209.85989722435198,True,global_flexural,False,True
theofanous2009_05,theofanous2009,theofanous2009_C,experimental,1.4162,lean_duplex,cold_formed,206400,711,5.0,measured,845,2.7,839,SHS,60.0,60.0,3.13,1199.0,1199.0,reported,-,symmetric,0.26,0.54,0.8,0.0006672226855713094,326.9,global_flexural,712.0123999999996,384960.63518718653,384960.63518718653,23.252217815368354,545.4907548098365,0.5699599371163039,3,0.9812295512694413,0.4,712.0123999999996,1.0,506.24081639999974,0.9633517302243718,0.6457401090743029,0.003444767441860465,1.0,1.180028129395218,0.673939173886778,0.6376057106834455,0.6107766336016943,341.1755175923839,322.7820355176895,309.2000616325652,True,global_flexural,False,True
theofanous2009_06,theofanous2009,theofanous2009_C,experimental,1.4162,lean_duplex,cold_formed,206400,711,5.0,measured,845,2.7,839,SHS,60.0,60.0,3.13,799.0,799.0,reported,-,symmetric,0.23,0.3,0.53,0.0006633291614518149,445.9,global_flexural,712.0123999999996,384960.63518718653,384960.63518718653,23.252217815368354,1228.3784871975072,0.5699599371163039,3,0.9812295512694413,0.4,712.0123999999996,1.0,506.24081639999974,0.6419666659293354,0.8808061016709442,0.003444767441860465,1.0,1.180028129395218,0.8814885445517223,0.8839622591797103,0.8460028076969498,446.24548044111145,447.4977757539247,428.2811520451959,True,global_flexural,False,True
theofanous2009_07,theofanous2009,theofanous2009_D,experimental,1.4162,lean_duplex,cold_formed,204000,607,4.6,measured,734,2.9,817,RHS,79.2,39.0,3.8,1600.0,1600.0,reported,minor,reported,0.03,1.04,1.07,0.0006687500000000001,160.4,global_flexural,840.56,654099.4314666664,206782.50746666663,15.68456719137354,162.63115442785409,0.6132605412137189,4,1.0007970770326005,0.4,840.5500034474834,0.9999881072707284,510.2138520926224,1.7712271078085133,0.3143779796297682,0.002975490196078431,2.0307692307692307,1.3459637561779243,0.3055245629522748,0.24383621375720163,0.24808754036754202,155.88286417279505,124.40861390074193,126.57769962710758,True,interactive,False,True
theofanous2009_08,theofanous2009,theofanous2009_D,experimental,1.4162,lean_duplex,cold_formed,204000,607,4.6,measured,734,2.9,817,RHS,39.3,79.5,3.95,1599.5,1599.5,reported,major,reported,0.25,0.82,1.0699999999999998,0.0006689590497030321,406.3,global_flexural,876.1100000000001,685077.9860916667,217404.38509166663,27.96344587008843,539.1398535668642,0.6132605412137189,3,0.962792124740223,0.4,876.1100000000001,1.0,531.7987700000001,0.9931685214051997,0.7640107930298521,0.002975490196078431,2.0229007633587788,1.3459637561779243,0.6339347852731327,0.5877376047166836,0.5899180374310871,337.12573906846615,312.5581352710786,313.71768670666614,True,global_flexural,False,True
theofanous2009_09,theofanous2009,theofanous2009_D,experimental,1.4162,lean_duplex,cold_formed,204000,607,4.6,measured,734,2.9,817,RHS,79.2,40.0,3.8,1199.0,1199.0,reported,minor,reported,0.15,0.65,0.8,0.0006672226855713094,237.4,global_flexural,848.1599999999999,664910.3808,219460.39680000002,16.08567117668085,307.3602542130312,0.6132605412137189,4,1.0007970770326005,0.4,848.1500034474833,0.9999882138364029,514.8270520926224,1.294216183875623,0.4611257295727526,0.002975490196078431,1.98,1.3459637561779243,0.48557982446266573,0.3964343982606937,0.4129807066978926,249.98962958376723,204.09515260466554,212.61363980040394,True,interactive,False,True
theofanous2009_10,theofanous2009,theofanous2009_D,experimental,1.4162,lean_duplex,cold_formed,204000,607,4.6,measured,734,2.9,817,RHS,39.5,79.6,3.96,1199.5,1199.5,reported,major,reported,0.13,0.67,0.8,0.0006669445602334307,497.7,global_flexural,880.5456000000004,690953.93824512,220683.63883632002,28.012290570421737,966.8931973637261,0.6132605412137189,3,0.9614338603579362,0.4,880.5456000000004,1.0,534.4911792000003,0.7435000786771121,0.9311659749837827,0.002975490196078431,2.015189873417721,1.3459637561779243,0.786236540765032,0.785395459903406,0.7728770374486862,420.23649580363104,419.786945502098,413.09595912255105,True,global_flexural,False,True
