specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,L,boundary_condition,Le,Le_source,buckling_axis,buckling_axis_source,w_0,w_e,w_total,w_total_norm,N_u,reported_failure_mode,A,I_major,I_minor,R,N_cr,epsilon,section_class,cs_slenderness_norm,lambda_0,A_eff,rho_eff,N_squash,lambda_bar,chi_exp,Delta,aspect_ratio,hardening_ratio,chi_perfect,chi_kgw,chi_eurocode,N_perfect,N_kgw,N_eurocode,kgw_convergence_flag,inferred_failure_mode,anomalous_interactive_mode,flexural_scope
yang2016_01,yang2016,yang2016_A,experimental,1.4301,austenitic,welded,182300,282.0,6.5,measured,,,660.0,SHS,129.9,129.9,6.0,1542.7,pin-pin,1882.7,reported,-,symmetric,0.398,-0.94,0.5419999999999999,0.00028788442130982093,921.0,global_flexural,2973.6000000000004,7625901.276000001,7625901.276000001,50.64123813652269,3870.9302643628203,0.8505367119723278,1,0.7525426446267602,0.4,2973.6000000000004,1.0,838.5552,0.46543405261859244,1.0983176778344466,0.0015469007131102578,1.0,2.3404255319148937,0.8826543742760924,0.8828328503571227,0.9610825723243279,740.1544153519635,740.3040773977871,805.9207886519413,True,global_flexural,False,True
yang2016_02,yang2016,yang2016_A,experimental,1.4301,austenitic,welded,182300,282.0,6.5,measured,,,660.0,SHS,130.0,130.0,6.0,2036.8,pin-pin,2376.8,reported,-,symmetric,0.428,7.23,7.658,0.00322197913160552,776.0,global_flexural,2976.0,7644352.0,7644352.0,50.68201521907615,2434.679580053377,0.8505367119723278,1,0.7531809335535005,0.4,2976.0,1.0,839.232,0.5871108562179469,0.9246549225958972,0.0015469007131102578,1.0,2.3404255319148937,0.8074952199339338,0.8064504865528502,0.8835215098890867,677.6758284155951,676.7990547307215,741.479523787238,True,global_flexural,False,True
yang2016_03,yang2016,yang2016_A,experimental,1.4301,austenitic,welded,182300,282.0,6.5,measured,,,660.0,SHS,129.9,129.9,6.0,3034.3,pin-pin,3374.3,reported,-,symmetric,0.57,14.57,15.14,0.0044868565332068875,545.0,global_flexural,2973.6000000000004,7625901.276000001,7625901.276000001,50.64123813652269,1205.0642671205526,0.8505367119723278,1,0.7525426446267602,0.4,2973.6000000000004,1.0,838.5552,0.8341818259685114,0.6499273989356932,0.0015469007131102578,1.0,2.3404255319148937,0.6892218453805197,0.6622606278392031,0.7053133492181907,577.9505623974308,555.3420932298286,591.4441766163297,True,global_flexural,False,True
yang2016_04,yang2016,yang2016_A,experimental,1.4301,austenitic,welded,182300,282.0,6.5,measured,,,660.0,SHS,130.1,130.1,6.0,3537.6,pin-pin,3877.6,reported,-,symmetric,0.643,-1.635,0.992,0.00025582834743140086,557.0,global_flexural,2978.3999999999996,7662832.484,7662832.484,50.722792378443316,916.9586088473465,0.8505367119723278,1,0.7538192224802407,0.4,2978.3999999999996,1.0,839.9087999999999,0.9570644828734379,0.66316723910977,0.0015469007131102578,1.0,2.3404255319148937,0.6381835676419375,0.5725247260186687,0.6152346800164048,536.0159944778585,480.86855560066874,516.7410218109625,True,global_flexural,False,True
yang2016_05,yang2016,yang2016_A,experimental,1.4301,austenitic,welded,182300,282.0,6.5,measured,,,660.0,SHS,129.8,129.8,6.0,4038.6,pin-pin,4378.6,reported,-,symmetric,0.363,-3.17,2.807,0.0006410724889234002,427.0,global_flexural,2971.2000000000025,7607480.2880000025,7607480.2880000025,50.60046113096861,713.9317630822508,0.8505367119723278,1,0.75190435570002,0.4,2971.2000000000025,1.0,837.8784000000007,1.0833334304799926,0.5096204890829023,0.0015469007131102578,1.0,2.3404255319148937,0.5874239784399476,0.4834701985385843,0.5301516548197672,492.18986317689826,405.0892363991917,444.20262029773926,True,global_flexural,False,True
yang2016_06,yang2016,yang2016_A,experimental,1.4301,austenitic,welded,182300,282.0,6.5,measured,,,660.0,SHS,99.8,99.8,6.0,4031.5,pin-pin,4371.5,reported,-,symmetric,0.307,1.885,2.192,0.000501429715200732,275.0,global_flexural,2251.2,3314681.8880000003,3314681.8880000003,38.37195156187221,312.0809819778067,0.8505367119723278,1,0.5604176776779436,0.4,2251.2,1.0,634.8383999999999,1.4262575036467826,0.43318110561679957,0.0015469007131102578,1.0,2.3404255319148937,0.44686094711657376,0.33687153348461935,0.35533419203412325,283.68448868997024,213.85898532292214,225.5797899362355,True,global_flexural,False,True
yang2016_07,yang2016,yang2016_B,experimental,1.4462,duplex,welded,191900,553.0,7.4,measured,,,798.0,SHS,130.5,130.5,6.0,1538.2,pin-pin,1878.2,reported,-,symmetric,0.283,1.13,1.4129999999999998,0.0007523160472793099,1496.0,global_flexural,2988.0,7737052.5,7737052.5,50.885901780355624,4154.000949686528,0.6231594789119028,4,1.0323560779230003,0.4,2937.01484831211,0.9829366962222591,1624.169211116597,0.6252912349477842,0.921086294310134,0.002881709223553934,1.0,1.4430379746835442,0.860987124712059,0.8606496126672469,0.8575744187048245,1398.3887791251318,1397.840602453567,1392.845967101589,True,interactive,False,True
yang2016_08,yang2016,yang2016_B,experimental,1.4462,duplex,welded,191900,553.0,7.4,measured,,,798.0,SHS,130.5,130.5,6.0,2037.0,pin-pin,2377.0,reported,-,symmetric,0.256,1.505,1.761,0.0007408498106857383,1265.0,global_flexural,2988.0,7737052.5,7737052.5,50.885901780355624,2593.533729425941,0.6231594789119028,4,1.0323560779230003,0.4,2937.01484831211,0.9829366962222591,1624.169211116597,0.7913519675598354,0.7788597341593045,0.002881709223553934,1.0,1.4430379746835442,0.7800051293225252,0.7688114595871093,0.7373204766577339,1266.860315558665,1248.6799018149948,1197.5332169133048,True,interactive,False,True
yang2016_09,yang2016,yang2016_B,experimental,1.4462,duplex,welded,191900,553.0,7.4,measured,,,798.0,SHS,130.8,130.8,6.0,3037.3,pin-pin,3377.3,reported,-,symmetric,0.349,-1.18,0.831,0.0002460545406093625,911.0,global_flexural,2995.2000000000007,7793031.1680000005,7793031.1680000005,51.00823462932235,1294.022576079127,0.6231594789119028,4,1.0349696376139446,0.4,2939.898251017523,0.9815365421399312,1625.76373281269,1.1208765644902121,0.5603520250903269,0.002881709223553934,1.0,1.4430379746835442,0.6292533275838855,0.5386496307069634,0.5069125051522807,1023.0172387375842,875.7170342963298,824.1199665858038,True,interactive,False,True
yang2016_10,yang2016,yang2016_B,experimental,1.4462,duplex,welded,191900,553.0,7.4,measured,,,798.0,SHS,130.7,130.7,6.0,3536.1,pin-pin,3876.1,reported,-,symmetric,0.858,2.045,2.903,0.000748948685534429,732.0,global_flexural,2992.800000000001,7774341.691999999,7774341.691999999,50.96745693740924,980.0503739909949,0.6231594789119028,4,1.0340984510502964,0.4,2938.938736216649,0.9820030527321063,1625.2331211278067,1.2877561505197563,0.4503969248990196,0.002881709223553934,1.0,1.4430379746835442,0.5452718778382923,0.4489751564311182,0.4160944809302061,886.193915882348,729.6892947953914,676.2505319262535,True,interactive,False,True
