specimen_id,source_id,study_id,data_type,material_grade,material_type,forming_route,E0,sigma_02,n,n_source,sigma_10,n_prime,sigma_u,section_type,b,h,t,L,boundary_condition,Le,buckling_axis,w_0,w_e,w_total,N_u,failure_mode,A,I_major,I_minor,Le_source,buckling_axis_source,R,lambda,N_cr,N_y,lambda_bar,chi,epsilon,section_class,cs_slenderness,lambda_0,inferred_failure_mode
young2003_01,young2003,young2003_A,experimental,304,austenitic,cold_formed,180000,295.0,5.5,measured,,,,RHS,40.1,120.1,1.94,1198.5,fixed-fixed,599.25,minor,0.254,0.0,0.254,167.0,,606.5216,1050687.0385437862,185151.10318378676,reported,reported,17.47189519971057,34.29793924187039,915.9725716465991,178.92387200000002,0.441970120149778,0.9333578472972013,0.8263224048197058,4,59.907216494845365,0.4,interactive
young2003_02,young2003,young2003_A,experimental,304,austenitic,cold_formed,180000,295.0,5.5,measured,,,,RHS,40.0,120.2,1.95,2000.0,fixed-fixed,1000.0,minor,0.444,0.0,0.444,141.3,,609.5699999999997,1056626.1377750009,185113.66997499988,reported,reported,17.426390952254415,57.38422848080498,328.8597645396711,179.8231499999999,0.7394646709678117,0.7857720210106434,0.8263224048197058,4,59.64102564102564,0.4,interactive
young2003_03,young2003,young2003_A,experimental,304,austenitic,cold_formed,180000,295.0,5.5,measured,,,,RHS,40.0,120.2,1.97,2800.0,fixed-fixed,1400.0,minor,1.522,0.0,1.522,96.2,,615.6643999999997,1066745.2834267865,186783.92334998655,reported,reported,17.417977523973356,80.37672560279172,169.29949885234575,181.6209979999999,1.0357505977660695,0.5296744377541636,0.8263224048197058,4,59.01522842639594,0.4,interactive
young2003_04,young2003,young2003_A,experimental,304,austenitic,cold_formed,180000,295.0,5.5,measured,,,,RHS,40.0,120.2,1.96,3600.0,fixed-fixed,1800.0,minor,0.763,0.0,0.763,83.7,,612.6176000000005,1061687.4822429877,185949.3463773867,reported,reported,17.4221838859941,103.31655387055358,101.95813818810808,180.72219200000015,1.331357823151226,0.4631417927910034,0.8263224048197058,4,59.3265306122449,0.4,interactive
young2003_05,young2003,young2003_B,experimental,304,austenitic,cold_formed,186000,498.0,3.0,measured,,,,RHS,39.9,119.7,5.31,1200.0,fixed-fixed,600.0,minor,0.127,0.0,0.127,717.4,,1582.1675999999998,2535782.258943721,405444.2098093199,reported,reported,16.00808228330444,37.481066712517304,2067.4798780573014,787.9194647999998,0.6173341028835476,0.9104991462320328,0.6464963607504443,4,20.542372881355934,0.4,interactive
young2003_06,young2003,young2003_B,experimental,304,austenitic,cold_formed,186000,498.0,3.0,measured,,,,RHS,40.1,119.7,5.27,2000.0,fixed-fixed,1000.0,minor,0.571,0.0,0.571,416.7,,1573.2004000000002,2527043.350895854,408239.0945454534,reported,reported,16.108877241354914,62.07757282008378,749.4234557453926,783.4537992000002,1.0224522962489802,0.5318756516663783,0.6464963607504443,4,20.713472485768502,0.4,interactive
young2003_07,young2003,young2003_B,experimental,304,austenitic,cold_formed,186000,498.0,3.0,measured,,,,RHS,40.0,119.8,5.29,2801.0,fixed-fixed,1400.5,minor,0.191,0.0,0.191,260.9,,1578.7475999999997,2537005.067423321,407167.75711772003,reported,reported,16.059437818632677,87.2072868189131,381.0832347448289,786.2163047999998,1.4363527213936707,0.3318425201908889,0.6464963607504443,4,20.64650283553875,0.4,interactive
young2003_08,young2003,young2003_B,experimental,304,austenitic,cold_formed,186000,498.0,3.0,measured,,,,RHS,40.1,119.7,5.27,3600.0,fixed-fixed,1800.0,minor,1.967,0.0,1.967,163.7,,1573.2004000000002,2527043.350895854,408239.0945454534,reported,reported,16.108877241354914,111.7396310761508,231.3035357238866,783.4537992000002,1.8404141332481643,0.20894659029946275,0.6464963607504443,4,20.713472485768502,0.4,interactive
young2003_09,young2003,young2003_C,experimental,304,austenitic,cold_formed,191000,383.0,4.0,measured,,,,RHS,80.1,119.9,2.82,1199.5,fixed-fixed,599.75,minor,0.127,0.0,0.127,398.3,,1096.1903999999995,2249564.5992299207,1204131.1685947205,reported,reported,33.14315911978817,18.095740295375716,6310.538163114174,419.8409231999998,0.25793435175616275,0.948692654742143,0.7470360847032843,4,40.51773049645391,0.4,local
young2003_10,young2003,young2003_C,experimental,304,austenitic,cold_formed,191000,383.0,4.0,measured,,,,RHS,80.0,120.0,2.8,2000.0,fixed-fixed,1000.0,minor,0.381,0.0,0.381,394.0,,1088.6399999999994,2237397.2991999984,1193879.859199999,reported,reported,33.11602250425098,30.1968631610766,2250.57628533186,416.94911999999977,0.4304221986713767,0.944959423346427,0.7470360847032843,4,40.85714285714286,0.4,interactive
